Programmd by Stefan Wallnoefer for josephchrzempiec
more librarys and sketches under https://github.com/walle86/

The time is since Startup of the Arduino

Time [s]	Temperature [F]
1	69.5
2	69.5
3	68.8
4	69.0
5	68.8
6	68.8
7	68.4
8	68.8
9	68.6
10	68.8
11	69.3
12	69.3
13	68.4
14	68.2
15	68.4
16	68.4
17	68.2
18	67.7
19	67.7
20	67.9
21	67.7
22	67.7
23	67.7
24	67.1
25	66.8
26	66.8
27	66.6
28	66.4
29	66.6
30	66.4
31	66.4
32	66.4
33	66.8
34	66.6
35	66.6
36	66.6
37	66.8
38	66.8
39	66.6
40	66.4
41	66.4
42	66.8
43	66.8
44	66.6
45	66.6
46	66.6
47	66.4
48	66.2
49	66.4
50	66.6
51	66.8
52	67.1
53	66.6
54	66.4
55	66.6
56	66.2
57	66.2
58	66.0
59	66.2
60	66.2
61	66.0
62	65.5
63	64.9
64	64.6
65	64.2
66	64.2
67	63.8
68	63.5
69	63.8
70	63.5
71	63.8
72	63.1
73	63.3
74	62.7
75	62.2
76	61.8
77	61.8
78	61.6
79	61.1
80	61.3
81	60.9
82	60.9
83	60.2
84	60.2
85	59.8
86	59.8
87	59.4
88	59.1
89	58.9
90	58.7
91	58.3
92	58.3
93	58.0
94	57.8
95	57.6
96	56.9
97	57.2
98	57.2
99	56.5
100	56.9
101	56.3
102	56.9
103	56.7
104	56.5
105	56.3
106	56.9
107	56.3
108	56.3
109	55.8
110	56.1
111	56.1
112	55.8
113	55.8
114	55.8
115	55.8
116	55.2
117	55.4
118	55.6
119	55.6
120	55.8
121	55.6
122	55.4
123	54.7
124	54.7
125	54.1
126	53.6
127	54.3
128	54.3
129	53.4
130	53.6
131	53.4
132	53.9
133	53.6
134	54.5
135	53.9
136	54.1
137	54.7
138	55.2
139	55.6
140	56.1
141	56.7
142	57.2
143	57.4
144	58.5
145	58.0
146	58.3
147	58.3
148	58.7
149	58.0
150	58.0
151	58.5
152	58.5
153	58.9
154	58.5
155	58.7
